選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
今井　達也,24,10,5,0,0,0,5,3,3,0.667,641,163.2,101,6,45,0,10,178,3,0,38,35,1.92
ウィンゲンター,49,1,4,0,31,32,0,0,0,0.2,188,46.2,26,2,20,0,2,69,4,0,11,9,1.74
上田　大河,4,0,2,0,0,0,0,0,0,0,94,20,30,1,6,0,1,6,0,0,15,15,6.75
甲斐野　央,47,2,3,0,33,35,0,0,0,0.4,180,43.2,34,3,18,1,3,36,2,0,13,12,2.47
黒木　優太,29,1,1,0,3,4,0,0,0,0.5,123,29.1,24,1,13,1,0,25,4,0,15,11,3.38
黒田　将矢,8,0,0,0,0,0,0,0,0,0,59,12.2,16,4,7,0,0,13,0,0,8,8,5.68
*佐々木　健,15,0,3,0,1,1,0,0,0,0,62,14.1,13,1,4,0,3,8,0,0,8,8,5.02
*佐藤　隼輔,20,0,2,0,6,6,0,0,0,0,93,19.2,24,2,10,1,2,13,1,0,14,14,6.41
篠原　響,2,0,1,0,0,0,0,0,0,0,39,7,15,1,2,0,1,8,0,0,8,8,10.29
*菅井　信也,11,5,5,0,0,0,0,0,0,0.5,239,55.1,51,5,29,0,0,47,0,0,22,22,3.58
*杉山　遙希,1,0,1,0,0,0,0,0,0,0,24,4,11,1,1,0,0,2,0,0,9,8,18
*隅田　知一郎,23,10,10,0,0,0,3,1,1,0.5,646,159.2,142,12,34,2,2,149,3,0,47,46,2.59
平良　海馬,54,4,2,31,8,12,0,0,0,0.667,220,52.2,43,0,21,1,3,53,2,0,12,10,1.71
髙橋　光成,24,8,9,0,0,0,0,0,0,0.471,616,148,141,10,41,0,6,88,7,1,56,50,3.04
*武内　夏暉,12,4,5,0,0,0,0,0,0,0.444,276,63.1,70,6,19,1,3,46,1,0,40,37,5.26
田村　伊知郎,20,0,1,0,1,1,0,0,0,0,116,27.2,26,4,7,1,2,20,0,0,13,11,3.58
中村　祐太,20,0,2,0,0,0,0,0,0,0,101,26,21,1,9,1,0,23,1,0,4,3,1.04
