Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,김강현,25,0.93,67,0,67,19,0,0,2,2,0,4,72,32,37,37.95,306,69,15,1,9,21,7,0,36,4,0,4,4,4.63,4.74,4.6,5.4,1.25,0.93
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,유영찬,25,0.92,39,0,39,35,0,0,2,2,21,1,41,12,14,17.95,177,31,7,0,2,23,3,3,52,2,0,3,2.63,3.07,3.94,4.15,3.2,1.32,0.92
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,이영하,25,0.9,73,0,73,8,0,0,4,4,0,14,66.2,30,33,32.85,299,63,10,0,4,39,6,2,72,5,0,7,4.05,4.46,4.43,4.62,4.09,1.53,0.9
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,배재환,25,0.89,70,0,70,6,0,0,2,4,2,24,60.1,30,36,30.5,271,48,6,1,3,37,11,4,51,3,0,6,4.48,5.37,4.55,4.45,4.84,1.41,0.89
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,양현종,25,0.86,30,30,0,0,0,0,7,9,0,0,153,86,101,96.2,677,171,23,4,12,57,4,1,109,14,0,10,5.06,5.94,5.66,5.83,4.35,1.49,0.86
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,오석주,25,0.85,53,0,53,15,0,0,2,1,0,7,58.1,24,24,25.9,252,52,6,1,4,29,7,0,44,1,0,3,3.7,3.7,4,4.39,4.82,1.39,0.85
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,김종수,25,0.85,63,0,63,10,0,0,4,5,0,5,63.2,23,30,32.15,282,57,17,1,5,36,4,1,59,5,1,2,3.25,4.24,4.54,4.53,4.55,1.46,0.85
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,전사민,25,0.83,74,0,74,6,0,0,7,7,2,13,82.1,39,45,45.35,370,86,12,2,3,33,11,4,62,7,0,7,4.26,4.92,4.96,4.82,4.02,1.45,0.83
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,전영준,25,0.75,34,5,29,6,0,0,1,5,0,0,52.2,27,28,26.5,228,48,9,0,5,26,5,1,55,2,0,3,4.61,4.78,4.53,4.54,4.26,1.41,0.75
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,장현식,25,0.73,56,0,56,14,0,0,3,3,10,5,49.2,24,27,23.75,234,65,16,1,4,21,5,1,38,2,0,4,4.35,4.89,4.3,4.47,4.58,1.73,0.73
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,박상원,25,0.73,74,0,74,1,0,0,4,3,0,16,66.2,31,35,35.35,294,67,14,1,4,21,8,0,52,4,0,4,4.19,4.73,4.77,4.78,4.07,1.32,0.73
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,문용익,25,0.71,20,2,18,5,0,0,1,0,0,0,28.2,10,11,11.15,121,21,7,0,3,19,0,1,31,0,0,0,3.14,3.45,3.5,3.46,4.58,1.4,0.71
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,정해영,25,0.7,60,0,60,50,0,0,3,7,27,0,61.2,26,30,31.35,275,75,13,0,4,18,3,1,72,3,0,1,3.79,4.38,4.58,4.76,2.86,1.51,0.7
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,손주환,25,0.67,52,0,52,7,0,0,6,1,0,7,51.2,25,29,27.75,224,53,5,0,5,19,1,0,37,3,0,0,4.35,5.05,4.83,4.58,4.52,1.39,0.67
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,구창모,25,0.67,4,3,1,0,0,0,1,0,0,0,14.1,4,4,3.15,59,14,3,0,1,3,0,0,18,0,0,1,2.51,2.51,1.98,1.89,2.28,1.19,0.67
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,메르세데스,25,0.67,8,8,0,0,0,0,3,3,0,0,46.1,23,24,24,197,54,12,0,5,9,0,0,41,2,1,2,4.47,4.66,4.66,4.8,3.61,1.36,0.67
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,박명근,25,0.62,44,0,44,13,0,0,3,4,4,10,38.2,21,21,18.05,168,36,5,1,5,16,5,2,30,0,1,0,4.89,4.89,4.2,4.42,5.09,1.34,0.62
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,배찬승,25,0.59,65,0,65,5,0,0,2,3,0,19,50.2,22,25,28.8,233,50,11,0,3,34,2,1,57,3,0,5,3.91,4.44,5.12,4.73,4.02,1.66,0.59
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,이정용,25,0.57,39,0,39,3,0,0,6,1,1,7,34,19,19,16.05,139,32,3,1,3,12,2,0,26,0,0,0,5.03,5.03,4.25,4.32,4.37,1.29,0.57
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,김택형,25,0.56,25,0,25,12,0,0,0,0,0,1,22.2,7,7,8.35,95,19,6,0,0,10,3,0,14,1,0,2,2.78,2.78,3.32,3.04,4.21,1.28,0.56
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,김진성,25,0.54,78,0,78,2,0,0,6,4,1,33,70.2,27,28,39,291,61,7,3,7,24,0,1,63,3,0,1,3.44,3.57,4.97,5.05,3.91,1.2,0.54
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,김재윤,25,0.47,63,0,63,34,0,0,4,7,13,3,57.2,32,34,35.35,242,57,12,2,10,13,1,3,43,2,0,1,4.99,5.31,5.52,5.06,4.84,1.21,0.47
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,박신지,25,0.47,54,0,54,7,0,0,2,4,0,5,60,19,24,32.65,264,55,15,3,3,29,5,6,36,4,0,8,2.85,3.6,4.9,5.11,4.56,1.4,0.47
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,이우찬,25,0.46,23,0,23,6,0,0,0,1,0,0,19,4,6,6,86,13,2,0,0,14,1,0,20,2,0,3,1.89,2.84,2.84,3.08,3.81,1.42,0.46
